Date,Query,Total Postingan,Site
2018-07,"Pesantren OR ""Ma'had"" OR Mahad",4960,Facebook
2018-08,"Pesantren OR ""Ma'had"" OR Mahad",11100,Facebook
2018-09,"Pesantren OR ""Ma'had"" OR Mahad",11800,Facebook
2018-10,"Pesantren OR ""Ma'had"" OR Mahad",12700,Facebook
2018-11,"Pesantren OR ""Ma'had"" OR Mahad",4970,Facebook
2018-12,"Pesantren OR ""Ma'had"" OR Mahad",13800,Facebook
2019-01,"Pesantren OR ""Ma'had"" OR Mahad",15000,Facebook
2019-02,"Pesantren OR ""Ma'had"" OR Mahad",5260,Facebook
2019-03,"Pesantren OR ""Ma'had"" OR Mahad",15100,Facebook
2019-04,"Pesantren OR ""Ma'had"" OR Mahad",14500,Facebook
2019-05,"Pesantren OR ""Ma'had"" OR Mahad",14600,Facebook
2019-06,"Pesantren OR ""Ma'had"" OR Mahad",7770,Facebook
2019-07,"Pesantren OR ""Ma'had"" OR Mahad",16500,Facebook
2019-08,"Pesantren OR ""Ma'had"" OR Mahad",14800,Facebook
2019-09,"Pesantren OR ""Ma'had"" OR Mahad",14000,Facebook
2019-10,"Pesantren OR ""Ma'had"" OR Mahad",10400,Facebook
2019-11,"Pesantren OR ""Ma'had"" OR Mahad",13800,Facebook
2019-12,"Pesantren OR ""Ma'had"" OR Mahad",22500,Facebook
2020-01,"Pesantren OR ""Ma'had"" OR Mahad",28000,Facebook
2020-02,"Pesantren OR ""Ma'had"" OR Mahad",14000,Facebook
2020-03,"Pesantren OR ""Ma'had"" OR Mahad",29400,Facebook
2020-04,"Pesantren OR ""Ma'had"" OR Mahad",30200,Facebook
2020-05,"Pesantren OR ""Ma'had"" OR Mahad",23200,Facebook
2020-06,"Pesantren OR ""Ma'had"" OR Mahad",34700,Facebook
2020-07,"Pesantren OR ""Ma'had"" OR Mahad",35600,Facebook
2020-08,"Pesantren OR ""Ma'had"" OR Mahad",38300,Facebook
2020-09,"Pesantren OR ""Ma'had"" OR Mahad",19000,Facebook
2020-10,"Pesantren OR ""Ma'had"" OR Mahad",44000,Facebook
2020-11,"Pesantren OR ""Ma'had"" OR Mahad",41100,Facebook
2020-12,"Pesantren OR ""Ma'had"" OR Mahad",41300,Facebook
2021-01,"Pesantren OR ""Ma'had"" OR Mahad",28900,Facebook
2021-02,"Pesantren OR ""Ma'had"" OR Mahad",41300,Facebook
2021-03,"Pesantren OR ""Ma'had"" OR Mahad",47100,Facebook
2021-04,"Pesantren OR ""Ma'had"" OR Mahad",24000,Facebook
2021-05,"Pesantren OR ""Ma'had"" OR Mahad",50100,Facebook
2021-06,"Pesantren OR ""Ma'had"" OR Mahad",41200,Facebook
