timestamp;url;caption;locationName;likesCount;commentsCount;ownerUsername
2018-08-23T05:10:08.000Z;https://www.instagram.com/p/BmzyUG1jQ4g/;"Focus Group Discussion Evaluasi Program Penyelenggaraan Beasiswa S2 dan Tindak Lanjutnya pada Direktorat Guru dan Tenaga Kependidikan Madrasah.

_______
Follow @gtkmadrasah
#gtkmadrasah #gtk #gtkhebat #gtkbermartabat #raudhatulathfal #ibtidaiyah #tsanawiyah #aliyah #kejuruan #pendis #pendidikanislam #kemenagri #guruberkarakter #gupres2018 #hgn2018 #guruberprestasi #anugerahkonstitusigurumadrasah #asiangames2018 #asianparagames2018 #hutri73 #hariguru2018";;21;1;gtkmadrasah
2018-08-24T01:37:15.000Z;https://www.instagram.com/p/Bm1-vu7gYbW/;"Masih versi Agustusan,
Selalu merah putih..
.
.
Pesanan bunga anggrek merah putih.
merah berani, putih suci..
.
.
Info pemesanan dan pelatihan dari tim RUMAH PRAKARYA bisa hubungi,
WA: 089678421967
LINE: rumahprakarya.sbk
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#jasapelatihan #pelatihansiswa #kursus #bimbel #belajar #siswa #siswi #sdit #smpit #smait #smk #sdk #smpk #ektrakurikuler #edukasi #sekolahan #madrasah #aliyah #tsanawiyah #mi #ibtidaiyah #smpn #sman #mtsn #man";;16;0;prakaryajakarta
2018-08-24T08:49:43.000Z;https://www.instagram.com/p/Bm2wPPqjmhs/;"Kalau niatmu adalah niat membela orang-orang lemah, insyaallah akan diberikan oleh-Nya kekuatan yang berlipat-lipat.

_______
Follow @gtkmadrasah
#gtkmadrasah #gtk #gtkhebat #gtkbermartabat #raudhatulathfal #ibtidaiyah #tsanawiyah #aliyah #kejuruan #pendis #pendidikanislam #kemenagri #guruberkarakter #gupres2018 #hgn2018 #guruberprestasi #anugerahkonstitusigurumadrasah #asiangames2018 #asianparagames2018 #hutri73 #hariguru2018";;62;0;gtkmadrasah
2018-08-26T13:36:51.000Z;https://www.instagram.com/p/Bm8ar90DomQ/;"Jangan pernah bosan berbuat baik.

Cc @pendiskemenag 
_______
Follow @gtkmadrasah
#gtkmadrasah #gtk #gtkhebat #gtkbermartabat #raudhatulathfal #ibtidaiyah #tsanawiyah #aliyah #kejuruan #pendis #pendidikanislam #kemenagri #guruberkarakter #gupres2018 #hgn2018 #guruberprestasi #anugerahkonstitusigurumadrasah #asiangames2018 #asianparagames2018 #hutri73 #hariguru2018";;69;1;gtkmadrasah
2018-08-26T13:38:14.000Z;https://www.instagram.com/p/Bm8a2FHj-g-/;"Workshop Peningkatan Kompetensi Kepala Madrasah Aliyah.

_______
Follow @gtkmadrasah
#gtkmadrasah #gtk #gtkhebat #gtkbermartabat #raudhatulathfal #ibtidaiyah #tsanawiyah #aliyah #kejuruan #pendis #pendidikanislam #kemenagri #guruberkarakter #gupres2018 #hgn2018 #guruberprestasi #anugerahkonstitusigurumadrasah #asiangames2018 #asianparagames2018 #hutri73 #hariguru2018";;47;3;gtkmadrasah
2018-09-04T10:18:04.000Z;https://www.instagram.com/p/BnTPF3HhM5F/;Lukisan aja aku fokusin, apalagi kamuuu  #enerhape #kangsantri #cahpondok #asatidz #madrasah #ibtidaiyah #maarifnu #batuanten #cilongokhits #banyumashits #purwokertohits #jawatengahhits #cahpondok #gurumuda #instabatuanten #explorebatuanten;Mi Ma'arif Nu Batuanten;44;2;rofiqhakim_
2018-09-10T04:03:19.000Z;https://www.instagram.com/p/BniA-ZhgUFj/;Pawai menyambut tahun baru Islam 1440 H siswa MI  Ma'arif NU Batuanten.. #enerhape #kangsantri #cahpondok #asatidz #madrasah #ibtidaiyah #maarifnu #batuanten #cilongokhits #banyumashits #pawai #tahunbaruislam #1440 #hijriyah;Mi Ma'arif Nu Batuanten;37;0;rofiqhakim_
2018-09-11T18:39:25.000Z;https://www.instagram.com/p/BnmKCGQlW0g/;"“Evaluasi merupakan dimensi penting pendidikan yang melibatkan semua komponen pendidikan. 
Dengan evaluasi yang dinafasi kekeluargaan insya Allah masalah pendidikan di Madrasah yang saya pimpin bisa teratasi dengan maksimal"". —Ustadz Nu'man Hanifah, Kepala Madrasah

Rapat evaluasi bulanan tingkat MI Terpadu. Selasa, 11 September 2018

#evaluasi #pendidikan #madrasah #ibtidaiyah #ppi24 #rancaekek #persispeople";PPI 24 Rancaekek;35;0;ppi24rancaekek
2018-09-14T03:32:16.000Z;https://www.instagram.com/p/BnsQJ4XHeqA/;"Dia ank hebat,beraninya luar biasa,nyali nya luar biasa.begitu di tunjuk jd imam untuk sholat subuh berjamaah dia gak nolak.dia semangatnya luar biasa. Maaf bunda gak bs dampingi,di temenin ayah ya nak... Ini jd imam kecil dlu,insyaAllah nt jadi imam besar.amin.
#perlombaan #tahunbaruislam #disekolah #ibtidaiyah #chairulbariyah 
@zuhrinadedekaidha @wien_pasha @erlinaw180 @mahdinatanjung";;63;6;bebby.05
2018-09-17T10:01:08.000Z;https://www.instagram.com/p/Bn0rfRThuwA/;"Selamat hari senin
.
.
.
#gambar #gambarimajinatif #gambaranak #madrasah #ibtidaiyah #alkhairiyah #mialkhairiyah #mialkhairiyahlentengagung #lenteng #agung #lentengagung #jagakarsa #jakartaselatan #sekolah #upacara #bendera #senin #upacarabendera #upacarabenderasenin #siswa #murid #baris #berbaris #bendera #merah #putih #berkibar #benderamerahputih #benderamerahputihberkibar #berkibarlahbenderaku #sangsakamerahputih";Jalan Agung Raya 2,Lenteng Agung Jaksel;15;2;mi_alkhairiyah_la
