Date,Query,Total Postingan,Site
2018-07,"Pesantren OR ""Ma'had"" OR Mahad",1980,Instagram
2018-08,"Pesantren OR ""Ma'had"" OR Mahad",2180,Instagram
2018-09,"Pesantren OR ""Ma'had"" OR Mahad",627,Instagram
2018-10,"Pesantren OR ""Ma'had"" OR Mahad",956,Instagram
2018-11,"Pesantren OR ""Ma'had"" OR Mahad",1380,Instagram
2018-12,"Pesantren OR ""Ma'had"" OR Mahad",1070,Instagram
2019-01,"Pesantren OR ""Ma'had"" OR Mahad",1370,Instagram
2019-02,"Pesantren OR ""Ma'had"" OR Mahad",892,Instagram
2019-03,"Pesantren OR ""Ma'had"" OR Mahad",1480,Instagram
2019-04,"Pesantren OR ""Ma'had"" OR Mahad",1890,Instagram
2019-05,"Pesantren OR ""Ma'had"" OR Mahad",714,Instagram
2019-06,"Pesantren OR ""Ma'had"" OR Mahad",84,Instagram
2019-07,"Pesantren OR ""Ma'had"" OR Mahad",978,Instagram
2019-08,"Pesantren OR ""Ma'had"" OR Mahad",435,Instagram
2019-09,"Pesantren OR ""Ma'had"" OR Mahad",995,Instagram
2019-10,"Pesantren OR ""Ma'had"" OR Mahad",713,Instagram
2019-11,"Pesantren OR ""Ma'had"" OR Mahad",786,Instagram
2019-12,"Pesantren OR ""Ma'had"" OR Mahad",662,Instagram
2020-01,"Pesantren OR ""Ma'had"" OR Mahad",5280,Instagram
2020-02,"Pesantren OR ""Ma'had"" OR Mahad",5810,Instagram
2020-03,"Pesantren OR ""Ma'had"" OR Mahad",7230,Instagram
2020-04,"Pesantren OR ""Ma'had"" OR Mahad",3320,Instagram
2020-05,"Pesantren OR ""Ma'had"" OR Mahad",1080,Instagram
2020-06,"Pesantren OR ""Ma'had"" OR Mahad",2170,Instagram
2020-07,"Pesantren OR ""Ma'had"" OR Mahad",3130,Instagram
2020-08,"Pesantren OR ""Ma'had"" OR Mahad",4130,Instagram
2020-09,"Pesantren OR ""Ma'had"" OR Mahad",1420,Instagram
2020-10,"Pesantren OR ""Ma'had"" OR Mahad",3080,Instagram
2020-11,"Pesantren OR ""Ma'had"" OR Mahad",2810,Instagram
2020-12,"Pesantren OR ""Ma'had"" OR Mahad",2670,Instagram
2021-01,"Pesantren OR ""Ma'had"" OR Mahad",1730,Instagram
2021-02,"Pesantren OR ""Ma'had"" OR Mahad",2800,Instagram
2021-03,"Pesantren OR ""Ma'had"" OR Mahad",3840,Instagram
2021-04,"Pesantren OR ""Ma'had"" OR Mahad",2300,Instagram
2021-05,"Pesantren OR ""Ma'had"" OR Mahad",2530,Instagram
2021-06,"Pesantren OR ""Ma'had"" OR Mahad",2660,Instagram
2021-07,"Pesantren OR ""Ma'had"" OR Mahad",2150,Instagram
2021-08,"Pesantren OR ""Ma'had"" OR Mahad",967,Instagram
2021-09,"Pesantren OR ""Ma'had"" OR Mahad",1180,Instagram
2021-10,"Pesantren OR ""Ma'had"" OR Mahad",1200,Instagram
2021-11,"Pesantren OR ""Ma'had"" OR Mahad",1230,Instagram
2021-12,"Pesantren OR ""Ma'had"" OR Mahad",436,Instagram
2022-01,"Pesantren OR ""Ma'had"" OR Mahad",1080,Instagram
2022-02,"Pesantren OR ""Ma'had"" OR Mahad",1160,Instagram
2022-03,"Pesantren OR ""Ma'had"" OR Mahad",690,Instagram
2022-04,"Pesantren OR ""Ma'had"" OR Mahad",1410,Instagram
2022-05,"Pesantren OR ""Ma'had"" OR Mahad",1630,Instagram
