Date,Query,Total Postingan,Site
2018-07,"Pesantren OR ""Ma'had"" OR Mahad",1,Tiktok
2018-08,"Pesantren OR ""Ma'had"" OR Mahad",2,Tiktok
2018-09,"Pesantren OR ""Ma'had"" OR Mahad",1,Tiktok
2018-10,"Pesantren OR ""Ma'had"" OR Mahad",0,Tiktok
2018-11,"Pesantren OR ""Ma'had"" OR Mahad",0,Tiktok
2018-12,"Pesantren OR ""Ma'had"" OR Mahad",2,Tiktok
2019-01,"Pesantren OR ""Ma'had"" OR Mahad",6,Tiktok
2019-02,"Pesantren OR ""Ma'had"" OR Mahad",4,Tiktok
2019-03,"Pesantren OR ""Ma'had"" OR Mahad",6,Tiktok
2019-04,"Pesantren OR ""Ma'had"" OR Mahad",8,Tiktok
2019-05,"Pesantren OR ""Ma'had"" OR Mahad",9,Tiktok
2019-06,"Pesantren OR ""Ma'had"" OR Mahad",30,Tiktok
2019-07,"Pesantren OR ""Ma'had"" OR Mahad",112,Tiktok
2019-08,"Pesantren OR ""Ma'had"" OR Mahad",5,Tiktok
2019-09,"Pesantren OR ""Ma'had"" OR Mahad",10,Tiktok
2019-10,"Pesantren OR ""Ma'had"" OR Mahad",10,Tiktok
2019-11,"Pesantren OR ""Ma'had"" OR Mahad",9,Tiktok
2019-12,"Pesantren OR ""Ma'had"" OR Mahad",10,Tiktok
2020-01,"Pesantren OR ""Ma'had"" OR Mahad",49,Tiktok
2020-02,"Pesantren OR ""Ma'had"" OR Mahad",30,Tiktok
2020-03,"Pesantren OR ""Ma'had"" OR Mahad",115,Tiktok
2020-04,"Pesantren OR ""Ma'had"" OR Mahad",227,Tiktok
2020-05,"Pesantren OR ""Ma'had"" OR Mahad",64,Tiktok
2020-06,"Pesantren OR ""Ma'had"" OR Mahad",134,Tiktok
2020-07,"Pesantren OR ""Ma'had"" OR Mahad",137,Tiktok
2020-08,"Pesantren OR ""Ma'had"" OR Mahad",99,Tiktok
2020-09,"Pesantren OR ""Ma'had"" OR Mahad",55,Tiktok
2020-10,"Pesantren OR ""Ma'had"" OR Mahad",183,Tiktok
2020-11,"Pesantren OR ""Ma'had"" OR Mahad",134,Tiktok
2020-12,"Pesantren OR ""Ma'had"" OR Mahad",204,Tiktok
2021-01,"Pesantren OR ""Ma'had"" OR Mahad",134,Tiktok
2021-02,"Pesantren OR ""Ma'had"" OR Mahad",368,Tiktok
2021-03,"Pesantren OR ""Ma'had"" OR Mahad",300,Tiktok
2021-04,"Pesantren OR ""Ma'had"" OR Mahad",200,Tiktok
2021-05,"Pesantren OR ""Ma'had"" OR Mahad",348,Tiktok
2021-06,"Pesantren OR ""Ma'had"" OR Mahad",782,Tiktok
2021-07,"Pesantren OR ""Ma'had"" OR Mahad",493,Tiktok
2021-08,"Pesantren OR ""Ma'had"" OR Mahad",388,Tiktok
2021-09,"Pesantren OR ""Ma'had"" OR Mahad",682,Tiktok
2021-10,"Pesantren OR ""Ma'had"" OR Mahad",1260,Tiktok
2021-11,"Pesantren OR ""Ma'had"" OR Mahad",1670,Tiktok
2021-12,"Pesantren OR ""Ma'had"" OR Mahad",1470,Tiktok
2022-01,"Pesantren OR ""Ma'had"" OR Mahad",2290,Tiktok
2022-02,"Pesantren OR ""Ma'had"" OR Mahad",2120,Tiktok
2022-03,"Pesantren OR ""Ma'had"" OR Mahad",1370,Tiktok
2022-04,"Pesantren OR ""Ma'had"" OR Mahad",2750,Tiktok
2022-05,"Pesantren OR ""Ma'had"" OR Mahad",3640,Tiktok
2022-06,"Pesantren OR ""Ma'had"" OR Mahad",6720,Tiktok
2022-07,"Pesantren OR ""Ma'had"" OR Mahad",3520,Tiktok
2022-08,"Pesantren OR ""Ma'had"" OR Mahad",8260,Tiktok
2022-09,"Pesantren OR ""Ma'had"" OR Mahad",7520,Tiktok
2022-10,"Pesantren OR ""Ma'had"" OR Mahad",7410,Tiktok
2022-11,"Pesantren OR ""Ma'had"" OR Mahad",3040,Tiktok
2022-12,"Pesantren OR ""Ma'had"" OR Mahad",7710,Tiktok
2023-01,"Pesantren OR ""Ma'had"" OR Mahad",8120,Tiktok
2023-02,"Pesantren OR ""Ma'had"" OR Mahad",6350,Tiktok
2023-03,"Pesantren OR ""Ma'had"" OR Mahad",8480,Tiktok
2023-04,"Pesantren OR ""Ma'had"" OR Mahad",26800,Tiktok
2023-05,"Pesantren OR ""Ma'had"" OR Mahad",40800,Tiktok
2023-06,"Pesantren OR ""Ma'had"" OR Mahad",9450,Tiktok
2023-07,"Pesantren OR ""Ma'had"" OR Mahad",21700,Tiktok
2018-07,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",0,Tiktok
2018-08,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",0,Tiktok
2018-09,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",0,Tiktok
2018-10,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",0,Tiktok
2018-11,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",0,Tiktok
2018-12,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",0,Tiktok
2019-01,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",1,Tiktok
2019-02,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",0,Tiktok
2019-03,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",0,Tiktok
2019-04,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",0,Tiktok
2019-05,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",0,Tiktok
2019-06,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",0,Tiktok
2019-07,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",2,Tiktok
2019-08,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",0,Tiktok
2019-09,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",1,Tiktok
2019-10,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",0,Tiktok
2019-11,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",0,Tiktok
2019-12,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",1,Tiktok
2020-01,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",0,Tiktok
2020-02,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",0,Tiktok
2020-03,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",0,Tiktok
2020-04,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",1,Tiktok
2020-05,"Madrasah Negeri OR Ibtidaiyah OR ""Madrasah Ibtidaiyah"" OR Tsanawiyah OR ""Madrasah Tsanawiyah"" OR Aliyah Negeri OR ""Madrasah Aliyah""",1,Tiktok
