Date,Query,Total Postingan,Site
2018-07,"Pesantren OR ""Ma'had"" OR Mahad",279,Twitter
2018-08,"Pesantren OR ""Ma'had"" OR Mahad",484,Twitter
2018-09,"Pesantren OR ""Ma'had"" OR Mahad",702,Twitter
2018-10,"Pesantren OR ""Ma'had"" OR Mahad",533,Twitter
2018-11,"Pesantren OR ""Ma'had"" OR Mahad",246,Twitter
2018-12,"Pesantren OR ""Ma'had"" OR Mahad",523,Twitter
2019-01,"Pesantren OR ""Ma'had"" OR Mahad",553,Twitter
2019-02,"Pesantren OR ""Ma'had"" OR Mahad",254,Twitter
2019-03,"Pesantren OR ""Ma'had"" OR Mahad",544,Twitter
2019-04,"Pesantren OR ""Ma'had"" OR Mahad",793,Twitter
2019-05,"Pesantren OR ""Ma'had"" OR Mahad",550,Twitter
2019-06,"Pesantren OR ""Ma'had"" OR Mahad",152,Twitter
2019-07,"Pesantren OR ""Ma'had"" OR Mahad",770,Twitter
2019-08,"Pesantren OR ""Ma'had"" OR Mahad",524,Twitter
2019-09,"Pesantren OR ""Ma'had"" OR Mahad",508,Twitter
2019-10,"Pesantren OR ""Ma'had"" OR Mahad",181,Twitter
2019-11,"Pesantren OR ""Ma'had"" OR Mahad",801,Twitter
2019-12,"Pesantren OR ""Ma'had"" OR Mahad",589,Twitter
2020-01,"Pesantren OR ""Ma'had"" OR Mahad",730,Twitter
2020-02,"Pesantren OR ""Ma'had"" OR Mahad",355,Twitter
2020-03,"Pesantren OR ""Ma'had"" OR Mahad",1190,Twitter
2020-04,"Pesantren OR ""Ma'had"" OR Mahad",865,Twitter
2020-05,"Pesantren OR ""Ma'had"" OR Mahad",313,Twitter
2020-06,"Pesantren OR ""Ma'had"" OR Mahad",1390,Twitter
2020-07,"Pesantren OR ""Ma'had"" OR Mahad",958,Twitter
2020-08,"Pesantren OR ""Ma'had"" OR Mahad",1060,Twitter
2020-09,"Pesantren OR ""Ma'had"" OR Mahad",317,Twitter
2020-10,"Pesantren OR ""Ma'had"" OR Mahad",951,Twitter
2020-11,"Pesantren OR ""Ma'had"" OR Mahad",541,Twitter
2020-12,"Pesantren OR ""Ma'had"" OR Mahad",618,Twitter
2021-01,"Pesantren OR ""Ma'had"" OR Mahad",273,Twitter
2021-02,"Pesantren OR ""Ma'had"" OR Mahad",685,Twitter
2021-03,"Pesantren OR ""Ma'had"" OR Mahad",1040,Twitter
2021-04,"Pesantren OR ""Ma'had"" OR Mahad",291,Twitter
2021-05,"Pesantren OR ""Ma'had"" OR Mahad",689,Twitter
