Date,Query,Total Postingan,Site
2018-07,"Pesantren OR ""Ma'had"" OR Mahad",2670,Youtube
2018-08,"Pesantren OR ""Ma'had"" OR Mahad",4800,Youtube
2018-09,"Pesantren OR ""Ma'had"" OR Mahad",3950,Youtube
2018-10,"Pesantren OR ""Ma'had"" OR Mahad",4020,Youtube
2018-11,"Pesantren OR ""Ma'had"" OR Mahad",2040,Youtube
2018-12,"Pesantren OR ""Ma'had"" OR Mahad",5210,Youtube
2019-01,"Pesantren OR ""Ma'had"" OR Mahad",5110,Youtube
2019-02,"Pesantren OR ""Ma'had"" OR Mahad",2720,Youtube
2019-03,"Pesantren OR ""Ma'had"" OR Mahad",7270,Youtube
2019-04,"Pesantren OR ""Ma'had"" OR Mahad",10600,Youtube
2019-05,"Pesantren OR ""Ma'had"" OR Mahad",7620,Youtube
2019-06,"Pesantren OR ""Ma'had"" OR Mahad",2700,Youtube
2019-07,"Pesantren OR ""Ma'had"" OR Mahad",8340,Youtube
2019-08,"Pesantren OR ""Ma'had"" OR Mahad",7440,Youtube
2019-09,"Pesantren OR ""Ma'had"" OR Mahad",8830,Youtube
2019-10,"Pesantren OR ""Ma'had"" OR Mahad",3440,Youtube
2019-11,"Pesantren OR ""Ma'had"" OR Mahad",7020,Youtube
2019-12,"Pesantren OR ""Ma'had"" OR Mahad",6970,Youtube
2020-01,"Pesantren OR ""Ma'had"" OR Mahad",8800,Youtube
2020-02,"Pesantren OR ""Ma'had"" OR Mahad",4150,Youtube
2020-03,"Pesantren OR ""Ma'had"" OR Mahad",9960,Youtube
2020-04,"Pesantren OR ""Ma'had"" OR Mahad",10100,Youtube
2020-05,"Pesantren OR ""Ma'had"" OR Mahad",5950,Youtube
2020-06,"Pesantren OR ""Ma'had"" OR Mahad",12600,Youtube
2020-07,"Pesantren OR ""Ma'had"" OR Mahad",14200,Youtube
2020-08,"Pesantren OR ""Ma'had"" OR Mahad",13100,Youtube
2020-09,"Pesantren OR ""Ma'had"" OR Mahad",6600,Youtube
2020-10,"Pesantren OR ""Ma'had"" OR Mahad",21400,Youtube
2020-11,"Pesantren OR ""Ma'had"" OR Mahad",13400,Youtube
2020-12,"Pesantren OR ""Ma'had"" OR Mahad",18500,Youtube
2021-01,"Pesantren OR ""Ma'had"" OR Mahad",10100,Youtube
2021-02,"Pesantren OR ""Ma'had"" OR Mahad",19900,Youtube
2021-03,"Pesantren OR ""Ma'had"" OR Mahad",15700,Youtube
2021-04,"Pesantren OR ""Ma'had"" OR Mahad",6850,Youtube
2021-05,"Pesantren OR ""Ma'had"" OR Mahad",13100,Youtube
2021-06,"Pesantren OR ""Ma'had"" OR Mahad",12300,Youtube
2021-07,"Pesantren OR ""Ma'had"" OR Mahad",13300,Youtube
2021-08,"Pesantren OR ""Ma'had"" OR Mahad",7260,Youtube
2021-09,"Pesantren OR ""Ma'had"" OR Mahad",16800,Youtube
2021-10,"Pesantren OR ""Ma'had"" OR Mahad",22800,Youtube
2021-11,"Pesantren OR ""Ma'had"" OR Mahad",22900,Youtube
2021-12,"Pesantren OR ""Ma'had"" OR Mahad",7260,Youtube
2022-01,"Pesantren OR ""Ma'had"" OR Mahad",14100,Youtube
2022-02,"Pesantren OR ""Ma'had"" OR Mahad",20800,Youtube
2022-03,"Pesantren OR ""Ma'had"" OR Mahad",9680,Youtube
2022-04,"Pesantren OR ""Ma'had"" OR Mahad",19700,Youtube
2022-05,"Pesantren OR ""Ma'had"" OR Mahad",19200,Youtube
2022-06,"Pesantren OR ""Ma'had"" OR Mahad",18800,Youtube
2022-07,"Pesantren OR ""Ma'had"" OR Mahad",8420,Youtube
2022-08,"Pesantren OR ""Ma'had"" OR Mahad",23200,Youtube
2022-09,"Pesantren OR ""Ma'had"" OR Mahad",21600,Youtube
2022-10,"Pesantren OR ""Ma'had"" OR Mahad",18600,Youtube
2022-11,"Pesantren OR ""Ma'had"" OR Mahad",10200,Youtube
2022-12,"Pesantren OR ""Ma'had"" OR Mahad",19500,Youtube
2023-01,"Pesantren OR ""Ma'had"" OR Mahad",25300,Youtube
2023-02,"Pesantren OR ""Ma'had"" OR Mahad",12100,Youtube
2023-03,"Pesantren OR ""Ma'had"" OR Mahad",12600,Youtube
2023-04,"Pesantren OR ""Ma'had"" OR Mahad",25300,Youtube
2023-05,"Pesantren OR ""Ma'had"" OR Mahad",29400,Youtube
