Date,Title ,URL,Body,Location,Likes,Comment,Username
7/14/2023,Day 3 | Matsama MAN 2 Bantul 2023 - TikTok,https://www.tiktok.com/@man2bantul/video/7255490704497970438,"99 Likes, TikTok video from MAN 2 Bantul (@man2bantul): ""Day 3 | Matsama MAN 2 Bantul 2023",Bantul,99,5,@man2bantul
7/13/2023,KUE KUEEE!! MASA TA'ARUF SISWA MADRASAH ... - TikTok,https://www.tiktok.com/@osismatsaduta/video/7255241500773125382,"1.7K Likes, 72 Comments. TikTok video from OSIS MTsN 2 TRENGGALEK (@osismatsaduta): ""KUE KUEEE!! MASA TA'ARUF SISWA MADRASAH",Trenggalek,1793,73,@osismatsaduta
7/10/2023,Keberkatan dalam ilmu sangat penting #madrasah #tahfiz #fyp,https://www.tiktok.com/@khalid_badrul/video/7254075803900660994,"297 Likes, 29 Comments. TikTok video from K H A L I D B.K (@khalid_badrul): ""Keberkatan dalam ilmu sangat penting #madrasah #tahfiz…",Senawang,297,29,@khalid_badrul
1/15/2023,Ibu Adalah Madrasah Pertama bagi seorang Anak ... - TikTok,https://www.tiktok.com/@nuraisyah_2698/video/7188820991429152027,"49 Likes, TikTok video from SyahShop_ Balikpapan (@nuraisyah_2698): ""Ibu Adalah Madrasah Pertama bagi seorang Anak ?? . . #fyp? #ibu",Balikpapan,49,2,@nuraisyah_2698
7/19/2023,Madrasah Al Muhsinin (@madrasahalmuhsinin)'s ... - TikTok,https://www.tiktok.com/@madrasahalmuhsinin/video/7257357878586068226,"23 Likes, TikTok video from Madrasah Al Muhsinin (@madrasahalmuhsinin). Semangat Baru - Merpati.",Jakarta,27,2,@madrasahalmuhsinin
6/4/2023,istri/ibu madrasah pertama untuk anaknya #ceramah ... - TikTok,https://www.tiktok.com/@hanifa.rslh/video/7240814782599761157,"27.9K Likes, 115 Comments. TikTok video from hanyfaa (@hanifa.rslh): ""istri/ibu madrasah pertama untuk anaknya #ceramah #ceramahpendek"".",Jakarta,29300,124,@hanifa.rslh
6/15/2023,"Terlalu sayang "" Siti Aliyah"" - #sitialiyah - #fyp??viral - TikTok",https://www.tiktok.com/@dio_fahrudin/video/7244856376923524358,"15.1K Likes, 119 Comments. TikTok video from Dio_FahrudinOfficial (@dio_fahrudin): ""Terlalu sayang "" Siti Aliyah""#sitialiyah #fyp??viral ...",Indramayu,15300,119,@dio_fahrudin
6/20/2023,Prosesi wisuda kelas 3 Madrasah Diniyyah Ulya Ponpes An ...,https://www.tiktok.com/@imehtronik/video/7249640295707495686,"317 Likes, TikTok video from SHOUTUNA FM (@shoutunafm): ""Prosesi wisuda kelas 3 Madrasah Diniyyah Ulya Ponpes An Nawawi Berjan",Purworjo,337,1,@shoutunafm
6/15/2023,Siapa sih yang gak gak tahu PonPes Amanatul Ummah ...,https://www.tiktok.com/@mojokertojalanjalan/video/7244766213946199301,"Siapa sih yang gak gak tahu PonPes Amanatul Ummah, semua pasti tahu, nah kali ini kita Room Tour di MAI (Madrasah Aliyah Istimewa) nya ya Gaes",Mojokerto,14600,207,@mojokertojalanjalan
6/19/2023,Video informasi tentang proses Tes Keagamaan PPDB MTsN ...,https://www.tiktok.com/@mtsn1pontianak/video/7246197622262861061,... #ppdb2023 #pesertadidikbaru #ppdb #mts #ppdbmadrasah #ppdbpontianak #madrasah #madrasahmandiriberprestasi,Pontianak,12800,139,@mtsn1pontianak
