Date,Title,URL,Body ,Location,Likes,Comment,Username
7/20/2023,Hidup lagi cape capenya malah punya temen yang pesantren disana #alzaytun,https://www.tiktok.com/@dalitazka_/video/7257078855414992133,"148.4K Likes, 494 Comments. TikTok video from Dalit Azka (@dalitazka_): ""Hidup lagi cape capenya malah punya temen yg pesantren disana #alzaytun",Indramayu,148400,494,@dalitazka_
7/3/2023,#santripondok #pesantren #idrisiyyah #estehmanisya #mondokpesantren #pov #qna #fyp #santriputra #pesantrenstory #ayomondok #santrifyp,https://www.tiktok.com/@estehmanisya/video/7250822098166304005,"76.1K Likes, 893 Comments. TikTok video from Snikdewi (@estehmanisya): ""#santripondok #pesantren #idrisiyyah #estehmanisya #mondokpesantren",Tasikmalaya,76100,893,@estehmanisya
7/22/2023,anak pesantren,https://www.tiktok.com/@hiwigooagain/video/7258192844345642246,"3.7K Likes, 27 Comments. TikTok video from moormaid ? ??? ? (@hiwigooagain): ""anak pesantren"". suara asli - Parenting Hebat.",,3700,27,@hiwigooagain
7/14/2023,UIN SATU Tulungagung (@uin_satu) - TikTok,https://www.tiktok.com/@uin_satu, UIN SATU Tulungagung (@uin_satu) di TikTok |68.2K Suka.4.1K Pengikut.AKUN RESMI UIN SATU Tulungagung.Tonton video terbaru UIN SATU Tulungagung (@uin_satu).,,68200,4100,@uin_satu
7/10/2023,Pondok Pesantren (Ponpes) Al-Zaytun di Indramayu,https://www.tiktok.com/@kompastvnews/video/7252597363141823762,"69 Likes, TikTok video from Kompas TV (@kompastvnews): ""Pondok Pesantren (Ponpes) Al-Zaytun di Indramayu, Jawa Barat, menjadi polemik…",Indramayu,69,1,@kompastvnews
7/17/2023,Replying to @ig_pineappleeeeee lulusan pesantren mau ...,https://www.tiktok.com/@vmuliana/video/7254916074926263558,"52.5K Likes, 823 Comments. TikTok video from Vina Muliana (@vmuliana): ""Replying to @ig_pineappleeeeee lulusan pesantren mau bikin CV? Gausa…",Jakarta,52500,823,@vmuliana
7/2/2023,Dosen UIN dibantah perkataannya oleh saksi Koordinator NII ...,https://www.tiktok.com/@sedihrianahyadi/video/7251998185105673478,"387.4K Likes, 3.8K Comments. TikTok video from Sedih Rian Ahyadi (@sedihrianahyadi): ""Dosen UIN dibantah perkataannya oleh saksi",Jakarta,387400,3800,@sedihrianahyadi
7/3/2023,Polemik ajaran di Pondok Pesantren Al-Zaytun terus ... - TikTok,https://www.tiktok.com/@cnnindonesia/video/7251466033091972354,pondok pesantren. al zaitun panji gumilang. atas dugaan dua laporan terkait dugaan penistaan agama. ya kita akan tergabung dengan koresponden CNN…,Indramayu,29,0,@cnnindonesia
7/2/2023,Video viral wanita jadi imam salat di pesantren Langkat ...,https://www.tiktok.com/@detikcom/video/7251116381263973638,"88 Likes, TikTok video from detik.com (@detikcom): ""Video viral wanita jadi imam salat di pesantren Langkat ternyata hanya potongan sebuah film di…",Langkat,88,0,@detikcom
7/19/2023,"Pemimpin Pondok Pesantren Al-Zaytun, Panji Gumilang ...",https://www.tiktok.com/@inilahcom/video/7257051905371802881,"40 Likes, TikTok video from Inilah.com (@inilahcom): ""Pemimpin Pondok Pesantren Al-Zaytun, Panji Gumilang mengajak para santrinya untuk",Indramayu,40,0,@inilahcom
7/22/2023,sengcol anak pesantren #scoups #seungcheol #seventeen ...,https://www.tiktok.com/@tatimyscoups/video/7258113142897544453,"34.3K Likes, 126 Comments. TikTok video from Taty Niss (@tatimyscoups): ""sengcol anak pesantren #scoups #seungcheol #seventeen #svtcarat #fyp?",,34300,126,@tatimyscoups
7/10/2023,Rektor UIN Sunan Ampel (UINSA) Surabaya ... - TikTok,https://www.tiktok.com/@uinsa.official/video/7205045857580797211,"68 Likes, TikTok video from uinsa.official (@uinsa.official): ""Rektor UIN Sunan Ampel (UINSA) Surabaya meresmikan lima layanan khusus di Perpustakaan",Surabaya,68,0,@uinsa.official
