Date,Title,URL,Body,location,Likes,Comment
2023-06-27T14:32:32Z,Beda Pendapat! Cholil Nafis Vs Dosen UIN: Siapa Kita Menjustifikasi Al Zaytun Sesat? | tvOne,https://www.youtube.com/watch?v=vXmPrjN9ils,"Catatan Demokrasi, https://www.tvOnenews.com - Beda Pendapat! Cholil Nafis Vs Dosen UIN: Siapa Kita Menjustifikasi Al Zaytun ...",Jakarta,30000,45.095
2023-06-29T06:50:00Z,DEBAT! Dosen UIN Syarif Hidayatullah vs MUI soal Shalat Ala Al Zaytun | Kabar Siang tvOne,https://www.youtube.com/watch?v=DGZFQzPJpTg,"Kabar Siang, https://www.tvOnenews.com - DEBAT! Dosen UIN Syarif Hidayatullah vs MUI soal Shalat Ala Al Zaytun | Kabar ...",Jakarta,1200,2.097
2023-06-23T07:06:56Z,Terbaru! Temuan Penyimpangan dan Masalah Akhlak di Ponpes Al Zaytun #shorts,https://www.youtube.com/watch?v=w0EYAjQrOWk,,Jakarta,36000,304
2023-07-03T10:50:14Z,Dosen UIN soal Kontroversi Al Zaytun: Jangan Ganggu Majelis Hakim | Kabar Petang tvOne,https://www.youtube.com/watch?v=1ZRXSupfHok,"Kabar Petang, https://www.tvOnenews.com - Dosen UIN soal Kontroversi Al Zaytun: Jangan Ganggu Majelis Hakim | Kabar ...",Jakarta,3500,8.065
2023-07-04T14:21:34Z,Dosen UIN Jelaskan Video Viral Panji Gumilang yang Menyebut Al Quran Bukan Kalam Allah | tvOne,https://www.youtube.com/watch?v=z-guLxpLiXM,"Catatan Demokrasi, https://www.tvOnenews.com - Dosen UIN Jelaskan Video Viral Panji Gumilang yang Menyebut Al Quran ...",Jakarta,5700,5433
2023-07-08T03:00:11Z,PENDAFTARAN PONPES AL HIKMAH 2 BENDA PESANTREN BERBASIS NU,https://www.youtube.com/watch?v=vcUbT9vfjVU,Benda #Bumiayu #Brebes.,Brebes,5,0
2023-06-19T13:57:40Z,"Akibat ketahuan saat membawa hp ke pondok pesantren, maka beginilah yang terjadi",https://www.youtube.com/watch?v=NO9tONOaZc4,,,16000,924
2023-05-24T02:47:42Z,Pesantren (Official Trailer) - Tonton di Bioskoponline.com,https://www.youtube.com/watch?v=1lGyuvp5f1E,"Terpilih di Festival Film Dokumenter Terbesar di Dunia, Film Pesantren tayang hari ini di bioskoponline.com! Dari sutradara ...",Cirebon,325,37
2023-06-04T01:00:11Z,Nengokin randika di Pesantren #ceritajekho #karawang,https://www.youtube.com/watch?v=HrnH_YLk2RQ,,Karawang,4900,256
2023-06-21T03:46:19Z,Pesantren Sunan Drajat | Tuan Rumah MQKN 2023,https://www.youtube.com/watch?v=k15HD241aJU,Pesantren Sunan Drajat | Tuan Rumah MQKN 2023 . #pendidikanislam #pendis #pendidikan #pendidikankarakter #madrasah ...,Lamongan,57,3
2023-06-12T17:17:00Z,Subhanallah! inilah 7 Pondok Pesantren terbaik di Jawa Tengah 2023,https://www.youtube.com/watch?v=L0Uh4UuTrgI,Pondok Pesantren di Jawa Tengah merupakan salah satu lembaga pendidikan yang digunakan sebagai tempat untuk menimba ...,,571,30
2023-06-17T17:27:31Z,Cerita Abah Guru Sekumpul Saat Mondok di Pesantren,https://www.youtube.com/watch?v=2vxxUK97r2I,"Cerita Abah Guru Sekumpul Saat Mondok di Pesantren Karena berisikan kumpulan vidio dari pihak manapun sumbernya, Mari ...",Tangerang,2,0
2023-06-21T22:18:05Z,"PPMUI, Alfiyah, Syarah Ibnu Aqil: Hamzah إن Boleh Kasrah &amp; Fathah Bila Terletak إذا فجائية , dsb.(1)",https://www.youtube.com/watch?v=IPCwqW4cZk4,,,0,0
2023-04-30T12:54:16Z,JEPANG RASA PESANTREN,https://www.youtube.com/watch?v=Nb5yejuSBhE,,Jepang,85000,1399
2023-05-13T03:44:44Z,pondok pesantren idaman,https://www.youtube.com/watch?v=kfhl4TSPbCM,pondokpesantren #pesantrentahfidz #santriindonesia.,Tangerang Selatan,17000,34
2023-04-28T04:18:47Z,"HEBOH Lantunan Azan Nyeleneh di Ponpes Al Zaytun Indramayu, Pakai Gerakan dan Membelakangi Kiblat",https://www.youtube.com/watch?v=_mT4Um328xA,beritaterbaru #beritaterkini #beritaviral #live #breakingnews #alzaytun #adzanalzaytun #indramayu #aliran TRIBUN-VIDEO.,Indramayu,37000,9844
2023-05-08T01:00:08Z,Randika pulang ke pesantren #ceritajekho #karawang #drama,https://www.youtube.com/watch?v=IVYC4j-fSXg,,Karawang,8700,804
2023-05-19T02:16:27Z,pengen tau dong fans Randika dari kota mana aja 😘 #santri #pesantren #videoshort #karawang,https://www.youtube.com/watch?v=4Q2KJttlYn4,,Karawang,,2447
2023-03-26T11:14:18Z,kakak menangis saat adik menjenguk di pesantren ‼️#nangis #pesantren #santri #adikkakak #shorts,https://www.youtube.com/watch?v=K3gJYrlMapU,,Kaliwungu,22000,382
2023-03-26T10:49:26Z,santri menangis saat orang tua datang menjenguknya ‼️#nangis #santri #sedih #pesantren #shorts,https://www.youtube.com/watch?v=LKEfMrm2RSA,,Kaliwungu,5400,113
2023-03-26T00:30:07Z,santri makan sambil nangis ‼️#nangis #sedih #pesantren #santri #pondok #shorts,https://www.youtube.com/watch?v=IGhEOyTxTXU,,Kaliwungu,37000,1613
2023-03-25T11:29:02Z,adik menangis saat bertemu kakaknya di pesantren ‼️#nangis #sedih #adikkakak #pesantren #shorts,https://www.youtube.com/watch?v=tgpwkgU8cWo,,Kaliwungu,42000,729
2023-03-26T10:49:41Z,santri menangis karena tidak betah di pondok pesantren ‼️#nangis #sedih #pesantren #santri #shorts,https://www.youtube.com/watch?v=cBQwGOihNRM,,Kaliwungu,1500,50
2023-03-07T04:31:26Z,"Tanpa sepengetahuan adik,kakak jenguk adik di pesantren ‼️#adikkakak #momenharu #pondok #shorts",https://www.youtube.com/watch?v=GMTosDsiGqE,,Kaliwungu,260000,3648
2023-03-07T04:40:23Z,ketika kakak jenguk adik di pesantren ‼️#adikkakak #pesantren #momenharu #santri #shorts,https://www.youtube.com/watch?v=bsEtZFzBF4M,,Kaliwungu,74000,2233
2023-03-18T12:00:02Z,JALAN-JALAN KE PONDOK PESANTREN NURUL AZHAR &quot;YAYASAN TABUNG WAKAF UMAT&quot;,https://www.youtube.com/watch?v=2LIzpH7ke5k,Yayasan Tabung Wakaf Umat ...,Pekanbaru,249,21
2023-03-01T12:04:39Z,Cara Menjadi Santri di Pesantren UAH - Ustadz Adi Hidayat,https://www.youtube.com/watch?v=knd61IOysrM,Cara Menjadi Santri di Pesantren UAH - Ustadz Adi Hidayat ...,Bekasi,3900,353
2023-03-18T06:00:11Z,CAMPUS TOUR UIN MALIK IBRAHIM DI MALANG!,https://www.youtube.com/watch?v=JUTTA_fI4Zs,Kali ini aku sedang berada di Universitas Islam Negeri (UIN) Malik Ibrahim Malang. Aku bakal review salah satu kampus islam ...,Malang,315,63
2023-01-26T05:10:03Z,Profil Institut Agama Islam Negeri Madura 2023 - Siap Menuju UIN,https://www.youtube.com/watch?v=7OUs9cLbXjU,"SELAMAT DATANG DI KAMPUS KEAGAMAAN NEGERI Institut Agama Islam Negeri Madura (IAIN MADURA) Kampus Religius, ...",Madura,428,35
2023-02-02T04:38:47Z,MADRASAH MANDIRI BERPRESTASI,https://www.youtube.com/watch?v=pI4UBh07C4o,,Jakarta,897,31
2023-02-11T05:00:02Z,Mafia masuk pesantren !! Eps 2,https://www.youtube.com/watch?v=4LBOZoTrLtc,,,65000,117
2023-01-23T04:36:25Z,PROFIL UIN FATMAWATI SUKARNO BENGKULU 2022,https://www.youtube.com/watch?v=xH0LxHaTpek,"Universitas Islam Negeri Fatmawati Sukarno Bengkulu adalah perguruan tinggi Islam negeri di Kota Bengkulu, Provinsi Bengkulu ...",Bengkulu,90,5
2023-02-10T10:00:06Z,Mafia masuk pesantren !!,https://www.youtube.com/watch?v=E5MCUz6L56I,,,181000,314
2023-01-18T10:00:09Z,Sumbangan ke pesantren !!! Eps 2,https://www.youtube.com/watch?v=HrHjMHSoIgE,,,9900,48
2023-01-03T10:00:29Z,Jadi anak pesantren !! Eps 2,https://www.youtube.com/watch?v=i843YAIT1LY,,,60000,150
2022-12-31T12:00:22Z,7 Pesantren Terbaik di Sukabumi - Jawa Barat ❗,https://www.youtube.com/watch?v=NZVw2-IcH10,"Video Baru : 7 Pesantren Terbaik di Sukabumi - Jawa Barat❗ Akhiii dan Ukhtiiii yang udah video ini, jangan lupa Klik Like nya ...",Sukabumi,111,23
2023-01-13T10:16:48Z,"Cantik &amp; Inspiratif, Umi Wahidah Kelola Pesantren Gratis",https://www.youtube.com/watch?v=HdB1vFHbxDo,Umi Wahidah adalah tokoh perempuan inspiratif. Ia mengelola pondok pesantren secara gratis dan memiliki ribuan santri.,Bogor,1700,212
2023-01-03T05:00:12Z,Jadi anak pesantren !!,https://www.youtube.com/watch?v=LM6pFu9ztxg,,,102000,134
